,PERMNO
638,10791
639,10792
640,10795
641,10796
642,10799
643,10800
644,10801
645,10802
646,10803
647,10805
648,10806
649,10808
650,10809
651,10810
652,10811
653,10812
654,10813
655,10814
656,10816
657,10817
658,10818
659,10819
660,10820
661,10821
662,10822
663,10823
664,10824
665,10825
666,10826
667,10827
668,10828
669,10830
670,10833
671,10834
672,10835
673,10836
674,10837
675,10838
676,10840
677,10841
678,10842
679,10843
680,10844
681,10845
682,10846
683,10847
684,10848
685,10849
686,10851
687,10852
688,10853
689,10854
690,10856
691,10857
692,10860
693,10861
694,10862
695,10863
696,10864
697,10865
698,10866
699,10867
700,10868
701,10869
702,10870
703,10871
704,10872
705,10873
706,10874
707,10875
708,10876
709,10878
710,10879
711,10880
712,10881
713,10883
714,10884
715,10885
716,10886
717,10887
718,10888
719,10889
720,10890
721,10892
722,10893
723,10894
724,10895
725,10896
726,10897
727,10899
728,10901
729,10902
730,10904
731,10905
732,10906
733,10907
734,10908
735,10909
736,10910
737,10911
738,10912
739,10913
740,10914
741,10915
742,10916
743,10918
744,10919
745,10921
746,10923
747,10924
748,10925
749,10926
750,10927
751,10928
752,10929
753,10930
754,10931
755,10932
756,10933
757,10934
758,10935
759,10936
760,10937
761,10938
762,10940
763,10941
764,10942
765,10943
766,10945
767,10947
768,10948
769,10949
770,10950
771,10952
772,10953
773,10957
774,10959
775,10960
776,10961
777,10963
778,10964
779,10965
780,10966
781,10967
782,10969
783,10972
784,10973
785,10974
786,10975
787,10977
788,10978
789,10980
790,10981
791,10982
792,10983
793,10984
794,10986
795,10987
796,10988
797,10989
798,10990
799,10992
800,10993
801,10994
802,10995
803,10996
804,10998
805,10999
806,11000
807,11001
808,11002
809,11003
810,11004
811,11005
812,11006
813,11007
814,11008
815,11010
816,11011
817,11012
818,11013
819,11014
820,11015
821,11016
822,11017
823,11018
824,11019
825,11020
826,11022
827,11024
828,11026
829,11027
830,11028
831,11029
832,11030
833,11031
834,11034
835,11035
836,11036
837,11037
838,11038
839,11039
840,11040
841,11041
842,11042
843,11043
844,11045
845,11046
846,11047
847,11048
848,11049
849,11051
850,11052
851,11053
852,11054
853,11055
854,11056
855,11057
856,11058
857,11059
858,11062
859,11064
860,11065
861,11066
862,11068
863,11069
864,11070
865,11071
866,11072
867,11073
868,11075
869,11077
870,11078
871,11079
872,11080
873,11081
874,11082
875,11083
876,11084
877,11086
878,11087
879,11088
880,11089
881,11090
882,11091
883,11092
884,11094
885,11095
886,11098
887,11099
888,11100
889,11101
890,11102
891,11103
892,11104
893,11105
894,11106
895,11108
896,11109
897,11110
898,11111
899,11112
900,11113
901,11114
902,11115
903,11117
904,11118
905,11119
906,11120
907,11122
908,11123
909,11124
910,11125
911,11126
912,11127
913,11128
914,11129
915,11131
916,11132
917,11133
918,11134
919,11135
920,11136
921,11137
922,11138
923,11139
924,11140
925,11141
926,11142
927,11143
928,11144
929,11146
930,11147
931,11149
932,11150
933,11152
934,11153
935,11154
936,11156
937,11157
938,11158
939,11159
940,11160
941,11161
942,11162
943,11163
944,11164
945,11166
946,11167
947,11168
948,11169
949,11170
950,11171
951,11173
952,11174
953,11176
954,11177
955,11178
956,11179
957,11181
958,11183
959,11184
960,11185
961,11186
962,11187
963,11188
964,11190
965,11191
966,11192
967,11193
968,11194
969,11195
970,11197
971,11198
972,11200
973,11202
974,11203
975,11204
976,11205
977,11206
978,11207
979,11208
980,11209
981,11210
982,11211
983,11212
984,11214
985,11215
986,11216
987,11217
988,11218
989,11219
990,11220
991,11221
992,11223
993,11224
994,11225
995,11226
996,11229
997,11230
998,11231
999,11232
1000,11233
1001,11235
1002,11237
1003,11238
1004,11239
1005,11240
1006,11241
1007,11246
1008,11247
1009,11248
1010,11253
1011,11256
1012,11257
1013,11258
1014,11259
1015,11260
1016,11262
1017,11263
1018,11265
1019,11267
1020,11269
1021,11271
1022,11272
1023,11274
1024,11275
1025,11276
1026,11277
1027,11278
1028,11281
1029,11282
1030,11283
1031,11284
1032,11285
1033,11289
1034,11291
1035,11292
1036,11293
1037,11294
1038,11295
1039,11296
1040,11297
1041,11298
1042,11300
1043,11301
1044,11302
1045,11303
1046,11306
1047,11307
1048,11308
1049,11309
1050,11310
1051,11311
1052,11312
1053,11313
1054,11314
1055,11315
1056,11317
1057,11318
1058,11319
1059,11321
1060,11322
1061,11323
1062,11326
1063,11327
1064,11328
1065,11329
1066,11330
1067,11331
1068,11332
1069,11334
1070,11335
1071,11336
1072,11337
1073,11338
1074,11339
1075,11340
1076,11341
1077,11342
1078,11343
1079,11344
1080,11345
1081,11346
1082,11347
1083,11348
1084,11349
1085,11350
1086,11351
1087,11352
1088,11353
1089,11354
1090,11356
1091,11357
1092,11358
1093,11362
1094,11364
1095,11365
1096,11366
1097,11368
1098,11369
1099,11370
1100,11371
1101,11372
1102,11373
1103,11374
1104,11376
1105,11377
1106,11378
1107,11379
1108,11380
1109,11381
1110,11382
1111,11384
1112,11385
1113,11386
1114,11387
1115,11388
1116,11389
1117,11393
1118,11394
1119,11395
1120,11396
1121,11397
1122,11398
1123,11400
1124,11401
1125,11402
1126,11403
1127,11404
1128,11405
1129,11406
1130,11408
1131,11409
1132,11410
1133,11411
1134,11414
1135,11415
1136,11416
1137,11417
1138,11418
1139,11419
1140,11422
1141,11424
1142,11425
1143,11426
1144,11427
1145,11428
1146,11430
1147,11431
1148,11432
1149,11434
1150,11435
1151,11437
1152,11438
1153,11441
1154,11442
1155,11443
1156,11445
1157,11446
1158,11447
1159,11449
1160,11450
1161,11451
1162,11452
1163,11453
1164,11454
1165,11456
1166,11457
1167,11458
1168,11459
1169,11460
1170,11461
1171,11462
1172,11465
1173,11466
1174,11468
1175,11470
1176,11471
1177,11473
1178,11474
1179,11475
1180,11476
1181,11477
1182,11478
1183,11479
1184,11480
1185,11481
1186,11482
1187,11483
1188,11484
1189,11485
1190,11486
1191,11487
1192,11489
1193,11490
1194,11491
1195,11492
1196,11493
1197,11496
1198,11497
1199,11498
1200,11499
1201,11502
1202,11504
1203,11506
1204,11508
1205,11509
1206,11510
1207,11511
1208,11513
1209,11514
1210,11515
1211,11516
1212,11517
1213,11518
1214,11521
1215,11522
1216,11523
1217,11525
1218,11526
1219,11530
1220,11531
1221,11532
1222,11533
1223,11534
1224,11536
1225,11538
1226,11539
1227,11540
1228,11541
1229,11542
1230,11543
1231,11545
1232,11546
1233,11547
1234,11548
1235,11549
1236,11552
1237,11553
1238,11554
1239,11555
1240,11556
1241,11557
1242,11558
1243,11559
1244,11560
1245,11561
1246,11562
1247,11563
1248,11564
1249,11565
1250,11566
1251,11568
1252,11569
1253,11570
1254,11571
1255,11572
1256,11573
1257,11574
1258,11575
1259,11576
1260,11577
1261,11580
1262,11581
1263,11582
1264,11583
1265,11584
1266,11585
1267,11587
1268,11588
1269,11590
1270,11591
1271,11592
1272,11593
1273,11595
1274,11596
1275,11597
1276,11598
1277,11599
1278,11600
1279,11601
1280,11604
1281,11605
1282,11606
1283,11607
1284,11608
1285,11609
1286,11610
1287,11611
1288,11613
1289,11614
1290,11617
1291,11618
1292,11620
1293,11621
1294,11622
1295,11624
1296,11625
1297,11626
1298,11628
1299,11629
1300,11630
1301,11631
1302,11633
1303,11634
1304,11635
1305,11636
1306,11637
1307,11638
1308,11639
1309,11640
1310,11641
1311,11642
1312,11643
1313,11644
1314,11645
1315,11646
1316,11647
1317,11649
1318,11650
1319,11651
1320,11652
1321,11653
1322,11654
1323,11656
1324,11657
1325,11658
1326,11659
1327,11660
1328,11661
1329,11662
1330,11663
1331,11664
1332,11665
1333,11668
1334,11669
1335,11670
1336,11671
1337,11672
1338,11673
1339,11674
1340,11675
1341,11676
1342,11677
1343,11678
1344,11679
1345,11680
1346,11681
1347,11684
1348,11685
1349,11686
1350,11687
1351,11688
1352,11689
1353,11690
1354,11691
1355,11692
1356,11693
1357,11694
1358,11695
1359,11697
1360,11699
1361,11700
1362,11701
1363,11702
1364,11703
1365,11704
1366,11705
1367,11706
1368,11707
1369,11708
1370,11709
1371,11710
1372,11712
1373,11713
1374,11714
1375,11715
1376,11716
1377,11717
1378,11718
1379,11719
1380,11720
1381,11721
1382,11722
1383,11723
1384,11724
1385,11725
1386,11726
1387,11727
1388,11728
1389,11729
1390,11731
1391,11733
1392,11735
1393,11736
1394,11737
1395,11739
1396,11740
1397,11741
1398,11742
1399,11744
1400,11745
1401,11746
1402,11747
1403,11748
1404,11749
1405,11750
1406,11751
1407,11752
1408,11754
1409,11755
1410,11756
1411,11757
1412,11759
1413,11760
1414,11761
1415,11763
1416,11764
1417,11765
1418,11766
1419,11767
1420,11768
1421,11769
1422,11772
1423,11773
1424,11774
1425,11775
1426,11776
1427,11778
1428,11779
1429,11781
1430,11782
1431,11783
1432,11784
1433,11785
1434,11786
1435,11787
1436,11788
1437,11790
1438,11791
1439,11792
1440,11793
1441,11794
1442,11795
1443,11796
1444,11799
1445,11800
1446,11801
1447,11802
1448,11803
1449,11804
1450,11805
1451,11806
1452,11807
1453,11808
1454,11809
1455,11810
1456,11811
1457,11812
1458,11813
1459,11815
1460,11816
1461,11819
1462,11820
1463,11821
1464,11822
1465,11823
